id	sGS
157	3
197	2
194	1
297	4
249	2
100	3
123	3
133	3
182	3
253	3
288	4
79	2
138	2
117	2
122	3
220	2
109	3
229	3
192	1
38	2
35	3
127	3
174	3
223	1
59	3
217	3
242	1
47	3
43	2
104	3
181	3
61	3
261	3
85	1
51	2
98	1
110	3
177	3
198	3
148	3
277	1
230	3
112	3
137	3
304	2
215	2
270	3
296	2
163	3
210	3
202	2
82	4
144	3
69	3
306	2
256	2
291	3
49	2
276	3
32	4
66	3
72	2
305	2
55	2
224	3
22	1
208	3
77	3
311	3
142	2
158	2
189	2
42	3
8	3
287	1
293	3
67	2
310	1
219	3
204	3
54	2
231	1
93	1
159	3
178	1
193	3
5	3
207	2
213	2
156	4
1	1
31	3
275	3
53	3
26	3
241	3
94	3
34	4
10	3
267	3
180	2
257	3
143	1
75	3
70	3
56	2
269	3
124	3
172	3
160	3
125	2
234	2
247	1
286	4
118	4
165	2
191	2
278	2
58	3
78	3
4	3
236	3
9	3
190	3
255	1
228	3
300	4
235	3
214	3
147	2
101	1
21	4
29	1
179	3
103	2
146	2
279	3
187	3
271	2
314	3
186	3
211	3
155	2
113	3
27	3
240	3
303	4
81	3
41	3
89	1
46	1
90	3
245	4
175	3
149	3
201	3
15	3
2	3
129	2
76	3
150	1
312	3
218	4
290	2
294	4
153	1
37	3
301	2
126	3
259	3
283	3
19	2
274	3
130	2
161	4
83	2
62	3
209	3
84	1
289	4
87	3
295	3
169	1
227	2
28	3
302	3
170	1
102	2
205	3
206	3
316	3
299	4
260	2
105	3
216	3
71	2
139	3
243	2
65	2
135	3
